date,day,weight,kcal,month,year
2022-04-01,1,70.5,1440,4,2022
2022-04-02,2,68.9,1589.5,4,2022
2022-04-03,3,68.5,1652,4,2022
2022-04-04,4,68.4,1664,4,2022
2022-04-05,5,68.7,1614,4,2022
2022-04-06,6,68.4,1658.4,4,2022
2022-04-07,7,68.2,1612,4,2022
2022-04-08,8,67.5,1640.6,4,2022
2022-04-09,9,67.5,1501,4,2022
2022-04-10,10,67.3,1600,4,2022
2022-04-11,11,67.1,1616,4,2022
2022-04-12,12,67.3,1875,4,2022
2022-04-13,13,67.4,1502,4,2022
2022-04-14,14,67.6,1799,4,2022
2022-04-15,15,66.9,1784.2,4,2022
2022-04-16,16,66.6,1760.15,4,2022
2022-04-17,17,66.4,1799,4,2022
2022-04-18,18,66.6,1424.9,4,2022
2022-04-19,19,66.6,1783,4,2022
2022-04-20,20,66.3,1780,4,2022
